"45"	"3309"
"79"	"3790"
"96"	"3924"
"23"	"4042"
"99"	"4172"
"75"	"4178"
"36"	"4278"
"98"	"4297"
"47"	"4316"
"77"	"4327"
"13"	"4367"
"48"	"4384"
"49"	"4394"
"94"	"4475"
"67"	"4505"
"50"	"4517"
"78"	"4524"
"5"	"4561"
"57"	"4628"
"83"	"4635"
"91"	"4642"
"74"	"4647"
"84"	"4652"
"3"	"4659"
"12"	"4664"
"66"	"4681"
"56"	"4701"
"21"	"4707"
"80"	"4727"
"14"	"4735"
"37"	"4735"
"7"	"4755"
"44"	"4756"
"31"	"4765"
"82"	"4812"
"4"	"4815"
"10"	"4819"
"88"	"4830"
"20"	"4836"
"89"	"4851"
"95"	"4876"
"38"	"4898"
"76"	"4904"
"86"	"4908"
"27"	"4915"
"18"	"4921"
"53"	"4945"
"1"	"4958"
"51"	"4975"
"16"	"4979"
"30"	"4990"
"28"	"5000"
"22"	"5019"
"17"	"5032"
"29"	"5032"
"60"	"5040"
"25"	"5057"
"19"	"5059"
"81"	"5112"
"69"	"5123"
"65"	"5140"
"11"	"5152"
"35"	"5155"
"40"	"5186"
"87"	"5206"
"52"	"5245"
"26"	"5250"
"62"	"5253"
"33"	"5254"
"24"	"5259"
"93"	"5265"
"64"	"5288"
"90"	"5290"
"55"	"5298"
"9"	"5322"
"34"	"5330"
"72"	"5337"
"43"	"5368"
"70"	"5368"
"92"	"5379"
"6"	"5397"
"15"	"5413"
"63"	"5415"
"58"	"5437"
"32"	"5496"
"61"	"5497"
"85"	"5503"
"8"	"5517"
"0"	"5524"
"41"	"5637"
"59"	"5642"
"42"	"5696"
"46"	"5963"
"97"	"5977"
"2"	"5994"
"71"	"5995"
"54"	"6065"
"39"	"6193"
"73"	"6206"
"68"	"6375"
